aciklama,cilttipi,cilt_problemi,onerilen_urun
Yüzümde hiperpigmentasyon nedeniyle koyu renkli lekeler oluştu.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler oluştu.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kistik kırmızı şişlikler çıktı.,yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar her temizlikten sonra tekrar oluşuyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle soluk lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet var.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildimde kırışıklıklar giderek derinleşti, gülümserken belirginleşiyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda elastikiyet kaybı nedeniyle sarkma hissediyorum.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler temizledikçe tekrar doluyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon sebebiyle koyu lekeler arttı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kış aylarında cildim çok kuruyor, ufak kabuklanmalar oluşuyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Epilasyon sonrası bacaklarımda batık kıllar ve kırmızı noktalar çıktı.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde şiş ve iltihaplı sivilceler var, dokununca ağrıyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumda gözenek tıkanıklığı nedeniyle siyah noktalar oluşuyor.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda alerjik reaksiyon sonucu kaşıntılı döküntüler başladı.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Yüzümde egzama kaynaklı kırmızı pul pul döküntüler var.,hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim aşırı hassas, yeni krem hemen tahriş yapıyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumdaki siyah noktalar inatçı ve derinleşti.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda hipopigmentasyon lekeleri soluk görünüyor.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Göz çevremde ince kırışıklıklar belirginleşti.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif kaşıntı hissediyorum.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda dermatit kaynaklı kırmızı döküntüler çıktı.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı minik sivilceler belirdi.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Cildim kupkuru, pul pul dökülüyor ve kaşıntı yapıyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Yüzümde alerjik reaksiyon sonucu hafif şişlik oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Cildim kuruyunca gerginleşiyor ve çatlıyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar kapatıcının altından bile belli oluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda kalıcı kırmızı lekeler kaldı.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, ağrılı sivilceler çıktı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde güneş sonrası kahverengi lekeler oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda elastikiyet kaybı başladı, yüzüm sarkıyor gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler dikkat çekiyor ve doluyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda ufak kabuklanmalar ve kaşıntılar oluşuyor.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Çenemde batık kıllar çıktı, kızarıklık yaptı.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde dermatit nedeniyle kırmızı pullu döküntüler oluştu.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda gözenek tıkanıklığı arttı, siyah noktalar çıktı.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon kaynaklı koyu lekeler yayıldı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı döküntüler ve hafif kızarıklık var.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük, iltihaplı, şişlik yapan sivilceler var.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki siyah noktalar derinleşti, temizlenmiyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle renk açılması oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, hassasiyet ve yanma hissediyorum.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kırmızı iltihaplı sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık kahverengi güneş lekeleri belirdi.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler belirgin hale geldi.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda elastikiyet kaybı nedeniyle gevşeklik hissediyorum.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde ince kırışıklıklar belirginleşti, özellikle göz çevresinde.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif tahriş hissi oluşuyor.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda kabuklanma ve kaşıntı başladı.,hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı küçük sivilceler oluştu.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenek tıkanıklığı ve siyah noktalar belirginleşti.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu renkli lekeler çıktı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler oluştu.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı ve ağrılı sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar temizlense bile hemen geri geliyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık renkli lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet hissetmeye başladım.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Cildimde göz çevresindeki kırışıklıklar daha da derinleşti.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda elastikiyet kaybı var, cildim gevşek hissediliyor.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler dolu ve siyah noktalar birikti.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu lekeler yayıldı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kış geldiğinde cildim kupkuru oluyor, kaşıntı ve kabuklanma yapıyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Bacaklarımda epilasyon sonrası batık kıllar oluştu, ağrı yapıyor.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde şiş, kızarık ve ağrılı sivilceler çıkıyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumda gözenek tıkanıklığı nedeniyle siyah noktalar çoğaldı.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda alerjik reaksiyon sonrası kırmızı döküntüler var.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Yüzümde egzama kaynaklı kırmızı pullu döküntüler oluştu.,hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim aşırı hassas, en ufak ürün değişiminde tahriş oluyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumdaki siyah noktalar ne yapsam geçmiyor, derinleşti.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda hipopigmentasyon nedeniyle soluk lekeler var.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Göz çevremde ince kırışıklıklar gülümserken belirginleşiyor.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif kaşıntı hissi oluştu.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda dermatit nedeniyle kırmızı pullu döküntüler çıktı.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde küçük beyaz başlı sivilceler oluşuyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Cildim kupkuru, nemlendirme yetmiyor, kabuklanma var.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Yüzümde alerjik reaksiyon sonucu hafif şişlik oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok kuru, nemlendirici bile işe yaramıyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar makyaj altında bile görünür.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda kalıcı kırmızı lekeler var, geçmiyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, büyük, iltihaplı sivilceler çıktı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde güneş sonrası kahverengi lekeler arttı.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda elastikiyet kaybı nedeniyle sarkma başladı.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler gözle görülür hale geldi.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda ufak kabuklanmalar ve dökülmeler oluştu.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Çenemde epilasyon sonrası batık kıllar çıktı.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde dermatit kaynaklı kırmızı döküntüler oluştu.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda gözenek tıkanıklığı arttı, siyah noktalar geri geldi.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu lekeler oluştu.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler var.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük, ağrılı, şiş sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki siyah noktalar derinleşti, temizleyici fayda etmiyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda tahriş ve hassasiyet oluştu.,hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kırmızı iltihaplı sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık kahverengi güneş lekeleri oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler sürekli tıkanıyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda elastikiyet kaybı belirginleşti, cildim gevşek görünüyor.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde ince kırışıklıklar artıyor, özellikle göz çevresinde.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif tahriş hissediyorum.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda kabuklanma ve kaşıntı var.,hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı küçük sivilceler oluştu.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenek tıkanıklığı ve siyah noktalar belirginleşti.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu renkli lekeler oluştu.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler oluştu.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı ve ağrılı sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar her temizlikten sonra tekrar doluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık renkli lekeler çıktı.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet hissediyorum.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Cildimde göz çevresindeki kırışıklıklar giderek derinleşiyor.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda elastikiyet kaybı var, yüzüm hafif sarkıyor gibi duruyor.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler giderek büyüyor ve doluyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu renkli lekeler arttı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kış aylarında cildim kupkuru, kaşıntı ve kabuklanma yapıyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Epilasyon sonrası bacaklarımda batık kıllar çıktı, ağrılı ve kızarık.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde büyük, şiş ve iltihaplı sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda gözenek tıkanıklığı arttı, siyah noktalar geri geliyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda alerjik reaksiyon sonrası kırmızı döküntüler oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde egzama kaynaklı kırmızı, pullu döküntüler var.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok hassas, yeni bir krem bile tahrişe sebep oluyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumdaki siyah noktalar temizlenmesine rağmen geri geliyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda hipopigmentasyon nedeniyle açık renkli lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz çevremde ince kırışıklıklar çoğaldı, özellikle gülünce belirgin.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif kaşıntı hissediyorum.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda dermatit nedeniyle kırmızı pullu döküntüler oluştu.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde küçük beyaz başlı sivilceler çıkıyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Cildim çok kuru, kabuklanma ve kaşıntı oluyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Yüzümde alerjik reaksiyon sonucu şişlik oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim kupkuru, ne krem ne serum işe yarıyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar makyajla bile gizlenemiyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda kırmızı lekeler kalıcı hale geldi.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı, iltihaplı sivilceler çıktı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde güneş sonrası kahverengi lekeler çoğaldı.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda elastikiyet kaybı nedeniyle gevşeklik hissediyorum.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler gözle görülür hale geldi.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda ufak kabuklanmalar ve döküntüler oluştu.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Çenemde epilasyon sonrası batık kıllar çıktı.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde dermatit kaynaklı kırmızı döküntüler oluştu.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumda gözenek tıkanıklığı nedeniyle yağlanma arttı.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon kaynaklı koyu lekeler oluştu.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler çıktı.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde büyük ağrılı şişlik yapan sivilceler var.,yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki siyah noktalar derinleşti, temizlenmiyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle renk açılması görüyorum.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda tahriş ve hassasiyet var.,hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kırmızı iltihaplı sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık kahverengi güneş lekeleri oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
