hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Sedef hastalığı,14. Genital bölgemdeki sedef hastalığından dolayı çok rahatsızım. Cinsel hayatım olumsuz etkileniyor.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,15. Özel bölgemdeki sedef hastalığı yüzünden cinsellik konusunda sıkıntı yaşıyorum.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,16. Cinsel organımdaki sedef hastalığı nedeniyle partnerimle yakınlaşmaktan kaçınıyorum.  Bu durum beni üzüyor.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"17. Sedef hastalığı, cinsel organımda ağrıya ve utanca neden oluyor.  Partnerimle yakın olmakta zorlanıyorum.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"18. Mahrem bölgemdeki sedef hastalığı, cinsel hayatımı etkiliyor ve beni rahatsız ediyor.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,19. Sedefim cinsel bölgemde sorunlara yol açıyor ve bu beni üzüyor.  Partnerimle yakın olamıyorum.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,20. Cinsel organımdaki sedef hastalığı nedeniyle cinsellik konusunda endişeliyim.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"21. Özel bölgemdeki sedef, hem acı hem de utanç verici. Bu yüzden partnerimle yakınlaşamıyorum.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"22. Sedef hastalığı, cinsel organımda rahatsızlık yaratıyor ve bu beni partnerimle yakınlaşmaktan alıkoyuyor.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"23. Genital bölgemdeki sedef, cinsel hayatımı etkiliyor ve bu durum beni üzüyor.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,24. Cinsel organımdaki sedef nedeniyle ilişkiye giremiyorum ve bu beni çok etkiliyor.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"25. Sedef, mahrem bölgemde ağrı ve rahatsızlığa neden oluyor. Bu yüzden partnerimle yakın olamıyorum.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"26. Özel bölgemdeki sedef hastalığı, cinsel yaşamımda sorunlar yaratıyor.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,27. Cinsel organımdaki sedef hastalığı nedeniyle partnerimle aramda mesafe oluşuyor.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"28. Sedef, genital bölgemde acı ve utanç duygusuna yol açıyor. Partnerimle yakınlaşmakta güçlük çekiyorum.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,29. Mahrem bölgemdeki sedef hastalığı yüzünden cinsellik konusunda isteksizim.,tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"30. Cinsel organımdaki sedef, beni partnerimle yakınlaşmaktan alıkoyuyor ve bu beni üzüyor.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Zona (Herpes Zoster),"İşte cildin açıklamasını yeniden ifade etmenin 30 doğal, kullanıcı dostu yolu:",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"1. Sırtım, özellikle bir tarafı, son zamanlarda çok ağrıyor ve şimdi kaşıntılı, kırmızı bir döküntü çıktı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"2. Sırt ağrım, özellikle bir tarafta, dayanılmaz hale geldi ve şimdi orada daha önce hiç görmediğim garip bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"3. Sırtımda, özellikle bir tarafında, şiddetli bir ağrı var ve şimdi kaşıntılı, kırmızı bir döküntü gelişti. Daha önce böyle bir şey görmemiştim.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"4. Sırtım ağrıyor, özellikle tek tarafta ve şimdi orada kaşıntılı, kırmızı bir döküntü var.  Hiç iyileşmiyor gibi görünüyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"5. Sırtımda, özellikle bir tarafında sürekli bir ağrı var ve şimdi kaşıntılı, kırmızı bir döküntü çıktı. Tanıdık gelmiyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"6. Sırtımda, özellikle bir tarafımda, son zamanlarda bir ağrı hissediyorum ve şimdi kaşıntılı, kırmızı bir döküntü belirdi. Daha önce hiç böyle bir şey görmemiştim.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"7. Sırt ağrısı çekiyorum, özellikle bir tarafımda ve şimdi o bölgede kaşıntılı, kırmızı bir döküntü çıktı.  Durumu iyileşmiyor gibi görünüyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"8. Sırtım, özellikle tek tarafta, gerçekten ağrıyor ve şimdi orada kaşıntılı, kırmızı bir döküntü var.  Ne olduğunu bilmiyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"9. Sırtımda, özellikle bir tarafında, dayanılmaz bir ağrı var ve şimdi kaşıntılı, kırmızı bir döküntü ortaya çıktı.  Hiçbir şeye benzemiyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"10. Sırt ağrım kötüleşti, özellikle bir tarafta ve şimdi orada kaşıntılı, kırmızı bir döküntü var.  Geçmiyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"11. Sırtım, özellikle sağ/sol tarafta, beni öldürüyor. Şimdi de kaşıntılı, kırmızı bir döküntü çıktı ve ne olduğunu bilmiyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"12. Kas çekilmesi sandığım şey şimdi sırtımda, özellikle bir tarafında, şiddetli bir ağrıya dönüştü. Şimdi de tuhaf görünen, kaşıntılı, kırmızı bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"13. Sırtım, özellikle bir tarafında, son zamanlarda çok sorun çıkarıyor. Ağrıdan başlayıp şimdi kaşıntılı, kırmızı bir döküntüye dönüştü.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"14. Sırtımdaki ağrı, özellikle bir tarafında, dayanılmaz hale geldi.  Şimdi de üzerine tuz biber ekerek, kaşıntılı, kırmızı bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"15. Başlangıçta kas çekilmesi sandığım şey şimdi sırtımın bir tarafında sürekli bir ağrıya dönüştü.  Kaşıntılı, kırmızı bir döküntü de çıktı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"16. Sırt ağrım, özellikle bir tarafında, kontrolden çıktı.  Şimdi o bölgede kaşıntılı, kırmızı bir döküntü var ve tanımlayamıyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"17. Son zamanlarda sırtım, özellikle bir tarafı, beni rahatsız ediyor.  Şimdi de kaşıntılı, kırmızı bir döküntü çıktı ve nasıl tedavi edeceğimi bilmiyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"18. Sırt ağrım, özellikle bir tarafında, gittikçe kötüleşiyor ve şimdi o bölgede kaşıntılı, kırmızı bir döküntü çıktı.  Daha önce böyle bir döküntü görmedim.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"19. Sırtımda, özellikle bir tarafında, tuhaf bir ağrı var ve şimdi kaşıntılı, kırmızı bir döküntü çıktı.  Neye benzediğini bilemiyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"20. Sırt ağrısı, özellikle bir tarafımda, beni mahvediyor.  Kaşıntılı, kırmızı bir döküntü de çıktı ve endişelenmeye başlıyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"21. Sırtım, özellikle bir tarafı, son günlerde ağrıyor ve şimdi o bölgede kaşıntılı, kırmızı bir döküntü var.  Tanıdık gelmiyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"22. Sırt ağrısı, özellikle sağ/sol tarafımda, daha da kötüleşti ve şimdi o bölgede tanımlayamadığım, kaşıntılı, kırmızı bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"23. Sırt ağrım, özellikle bir tarafında, inanılmaz derecede şiddetli ve şimdi kaşıntılı, kırmızı bir döküntü de var.  Durumu kötüye gidiyor gibi görünüyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"24. Sırtımın tek tarafı son zamanlarda beni rahatsız ediyor ve şimdi o bölgede daha önce hiç görmediğim kaşıntılı, kırmızı bir döküntü çıktı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"25. Sırt ağrısı, özellikle bir tarafında, dayanılmaz hale geldi ve şimdi o bölgede kaşıntılı, kırmızı bir döküntü var.  Hiçbir şeye benzemiyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"26. Sırt ağrısı, özellikle bir tarafında, çok kötü ve şimdi o bölgede daha önce hiç görmediğim kaşıntılı, kırmızı bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"27. Sırtım, özellikle sağ/sol tarafımda, çok ağrıyor ve şimdi orada tanıyabildiğim hiçbir şeye benzemeyen, kaşıntılı, kırmızı bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"28. Kas çekilmesi sandığım şey şimdi sırtımın bir tarafında şiddetli bir ağrıya dönüştü ve şimdi kaşıntılı, kırmızı bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"29. Sırt ağrım, özellikle bir tarafında, giderek kötüleşiyor ve kaşıntılı, kırmızı bir döküntü de var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Akne,İşte 30 farklı doğal ve kullanıcı dostu şekilde ifade edilmiş cümle:,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"1. Son zamanlarda yüzümde çok fazla sivilce çıkıyor, özellikle alnımda ve çenemde.  Acıyorlar ve kızarıklar, ne yapabilirim?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"2. Alnım ve çenemdeki sivilceler çok ağrılı ve kırmızı. Reçetesiz ilaçlar işe yaramadı, daha etkili bir çözüm önerebilir misiniz?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"3. Yüzümde, özellikle alnım ve çenemde, son günlerde ciddi bir sivilce problemi yaşıyorum.  Ağrı ve kızarıklık var. Bana yardımcı olabilir misiniz?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,4. Alnımda ve çenemde çıkan sivilceler çok canımı yakıyor ve kıpkırmızı görünüyor. Reçetesiz ürünler fayda etmedi. Daha güçlü bir tedaviye ihtiyacım olabilir.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"5. Doktor, yüzümdeki sivilcelenme arttı. Alın ve çenemdeki sivilceler oldukça büyük, kırmızı ve ağrılı.  Reçetesiz satılan ürünleri denedim ama sonuç alamadım.  Daha güçlü bir ilaç yazabilir misiniz?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"6. Son zamanlarda alnım ve çenemde çıkan sivilceler çok rahatsız edici.  Şiş ve kızarıklar. Reçetesiz ilaçlar işe yaramadı, ne önerirsiniz?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,7. Yüzümdeki sivilcelenme beni çok endişelendiriyor. Alın ve çenem bölgemdeki sivilceler hem ağrılı hem de kırmızı. Reçetesiz ürünlerden fayda göremedim. Daha güçlü bir tedaviye ihtiyacım var mı?,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"8. Alnımda ve çenemde büyük, kırmızı ve ağrılı sivilceler var. Reçetesiz satılan kremler işe yaramadı. Bana yardımcı olabilecek daha etkili bir tedavi var mı?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"9. Yüzüm, özellikle alnım ve çenem,  son zamanlarda çok fazla sivilce çıkarmaya başladı. Hem acıyor hem de kızarık duruyorlar.  Ne yapmalıyım?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"10. Doktor, yüzümde, özellikle alnımda ve çenemde çok sivilce çıktı.  Büyük, kırmızı ve ağrılılar. Reçetesiz satılan ürünler fayda etmedi. Daha güçlü bir ilaç mümkün mü?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"11.  Alnım ve çenemdeki sivilceler giderek kötüleşiyor. Kırmızı, şiş ve ağrılılar. Bana yardımcı olabilir misiniz?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"12.  Yüzümdeki, özellikle alnım ve çenemdeki sivilcelerden çok rahatsızım.  Büyük, kırmızı ve ağrılılar.  Reçetesiz kremler işe yaramıyor.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,13.  Son zamanlarda alnımda ve çenemde çok fazla sivilce oluşuyor.  Ağrılı ve iltihaplı görünüyorlar. Ne önerirsiniz?,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"14.  Yüzümdeki sivilceler, özellikle alnım ve çenemdekiler, çok kötüleşti. Kırmızı ve ağrılılar, ve reçetesiz ilaçlar işe yaramıyor.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,15.  Alın ve çenemdeki sivilceler beni çok rahatsız ediyor.  Hem büyükler hem de ağrılılar. Daha etkili bir tedavi istiyorum.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"16.  Doktor, yüzümdeki sivilceler yüzünden endişeliyim. Özellikle alnım ve çenemde çok fazla sivilce var ve çok ağrılılar.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,17.  Alnım ve çenemdeki sivilceler çok iltihaplı ve ağrılı. Reçetesiz ilaçlar fayda etmedi.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,18.  Son zamanlarda alnım ve çenemdeki sivilceler arttı ve çok rahatsız edici bir hal aldılar.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"19.  Yüzümdeki sivilceler, özellikle alnım ve çenemdekiler, kıpkırmızı ve çok acıyor.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,20.  Alnım ve çenemdeki sivilcelerden kurtulmak için ne yapabilirim? Çok ağrılı ve çirkin görünüyorlar.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,21.  Yüzümdeki sivilceler yüzünden moralim çok bozuk. Alnım ve çenemdeki sivilceler özellikle kötü.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"22.  Alnımda ve çenemde çıkan sivilceler beni çok üzüyor.  Büyükler, kırmızılar ve çok acıyorlar.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"23.  Yüzümde, özellikle de alnım ve çenemde çıkan sivilceler için daha etkili bir tedaviye ihtiyacım var.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,24.  Reçetesiz ilaçlar sivilcelerime hiç iyi gelmedi. Alnım ve çenemdeki sivilceler hala çok ağrılı.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"25.  Alnımda ve çenemde büyük, kırmızı sivilceler var ve hiç geçmiyorlar. Ne yapmalıyım?",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,26.  Yüzümdeki sivilcelenme sorunu için bana yardımcı olabilir misiniz? Özellikle alnım ve çenem etkileniyor.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,27.  Alnım ve çenemdeki sivilceler çok kötüleşti. Dokununca bile acıyorlar.,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"28.  Yüzümde, özellikle alnım ve çenemde çıkan sivilceler için bir çözüm arıyorum.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,29.  Alın ve çenem bölgemdeki sivilcelerden çok rahatsızım. Bana daha güçlü bir ilaç yazabilir misiniz?,yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"1. Ayak parmaklarımın arası, özellikle koştuktan sonra çok kaşınıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),2. Parmak aralarımda kaşıntı var ve koşunca artıyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"3. Ayaklarımda, özellikle parmak aralarında dayanılmaz bir kaşıntı hissediyorum.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),4. Koştuktan sonra ayak parmaklarımın arası daha da fazla kaşınıyor ve kızarıyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"5. Parmak aralarım kaşınıyor, kızarıyor ve koşunca daha da kötüleşiyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"6. Ayaklarım, özellikle parmak araları çok kaşınıyor ve çatlıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"7. Parmak aralarımda kaşıntı ve çatlamalar var, koştuktan sonra artıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"8. Koştuktan sonra ayak parmaklarımın arası kaşınıyor, kızarıyor ve çatlıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),9. Ayak parmaklarımın arası kaşınıyor ve deri pul pul dökülüyor gibi.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),10. Parmak aralarımda kaşıntı ve deri soyulması var.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),11. Koşudan sonra ayak parmak aralarımda kaşıntı ve tahriş oluyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),12. Ayak parmaklarımın arası sürekli kaşınıyor ve rahatsız ediyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),13. Parmak aralarımda şiddetli bir kaşıntı hissediyorum.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"14. Ayak parmaklarımın arası, özellikle egzersizden sonra aşırı kaşınıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),15. Koştuktan sonra ayak parmaklarımın arası yanıyor ve kaşınıyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"16. Parmak aralarım kaşınıyor, kızarıyor ve acı veriyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"17. Ayaklarımda, özellikle parmak aralarında bir rahatsızlık hissediyorum.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),18. Parmak aralarım kaşınıyor ve şişmiş gibi.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),19. Koşunca ayak parmaklarımın arası daha çok kaşınıyor ve hassaslaşıyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"20. Ayaklarımın parmak araları kaşındıkça kaşınıyor, özellikle koştuktan sonra.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"21. Parmak aralarım, özellikle koştuktan sonra kaşıntıdan dolayı  çatlıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"22. Ayak parmaklarımın arası kaşınıyor, pul pul dökülüyor ve çatlıyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),23. Koşudan sonra parmak aralarım acı verici şekilde kaşınıyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"24. Ayak parmaklarımın arasındaki deri, koşudan sonra kaşınıyor ve tahriş oluyor.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),25. Parmak aralarımda kaşıntıdan dolayı yara oluşmaya başladı.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"26. Ayaklarımın parmak araları, koşudan sonra kaşıntı ve çatlaklarla dolu.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),27. Parmak aralarımda dayanılmaz bir kaşıntı var ve deri soyuluyor.,yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
